id,root,number,sense,salish,nicodemus,symbol,english,grammar,crossref,variant,cognate,editnote,userId,createdAt,updatedAt
1,'a',0,1,'a','a','†','hello.','gr.','','',null,null,1,'2020-08-14T20:51:51.093+00:00','2020-08-14T20:51:51.093+00:00'
2,'a',0,2,'a','a?','',"'so. (lit. Is that so?),'",'adv.','','',null,null,1,'2020-08-14T20:51:51.117+00:00','2020-08-14T20:51:51.117+00:00'
3,'a',0,3,'a·','aaaa...!','',"'cut out, knock off!, quit, stop. (lit. Cut it out!, Knock it off, quit it, Stop it!),'",'imper.','','',null,null,1,'2020-08-14T20:51:51.126+00:00','2020-08-14T20:51:51.126+00:00'
4,'a',0,4,'aye','aye','','hey.','adv.','','',null,null,1,'2020-08-14T20:51:51.131+00:00','2020-08-14T20:51:51.131+00:00'
5,'bc',0,1,'buc','buts','†','boots.','n.','','',null,null,1,'2020-08-14T20:51:51.142+00:00','2020-08-14T20:51:51.142+00:00'
6,'bc',0,2,'ec+búc+buc=šn','etsbutsbutsshn','//','boots (to be wearing...). (lit. He is wearing boots)','n.','','',null,null,1,'2020-08-14T20:51:51.152+00:00','2020-08-14T20:51:51.152+00:00'
7,'bc',0,3,'s+búc+buc=šn','sbutsbutsshn','','boot. (lit. a borrowed root)','n.','','',null,null,1,'2020-08-14T20:51:51.16+00:00','2020-08-14T20:51:51.16+00:00'
8,'bc',0,4,'s+búc+buc=šn+mš','sbutsbutsshnmsh','','rubber boots (putting on...).',"'vt., pl.n.'",'','',null,null,1,'2020-08-14T20:51:51.173+00:00','2020-08-14T20:51:51.173+00:00'
9,'bl',0,1,'bu·lí','buuli','†','bull.','n.','','',null,null,1,'2020-08-14T20:51:51.178+00:00','2020-08-14T20:51:51.178+00:00'
10,'bm',1,1,'bam','bam','†',"'go (...fast and far), speeded (be...), be versatile.'",'stem vi.','','',null,null,1,'2020-08-14T20:51:51.185+00:00','2020-08-14T20:51:51.185+00:00'
11,'bm',1,2,'bam','bam','','intoxicated.','stem vi.','','',null,null,1,'2020-08-14T20:51:51.196+00:00','2020-08-14T20:51:51.196+00:00'
12,'bm',1,3,'bám+bm+t','bambmt','','speedy (H/s is...).','adj.','',':',null,null,1,'2020-08-14T20:51:51.207+00:00','2020-08-14T20:51:51.207+00:00'
13,'bm',1,4,'bam+p','bamp','',"'speeded (He...), tipsy (He became...).'",'vi.','','',null,null,1,'2020-08-14T20:51:51.211+00:00','2020-08-14T20:51:51.211+00:00'
14,'bm',1,5,'s+bam+p','sbamp','','speeding.','v.','','',null,null,1,'2020-08-14T20:51:51.228+00:00','2020-08-14T20:51:51.228+00:00'
15,'bm',1,6,'ic+bam+p','itsbamp','','intoxicated (H/s is being...). (lit. H/s is speeding)','vt.','','',null,null,1,'2020-08-14T20:51:51.239+00:00','2020-08-14T20:51:51.239+00:00'
16,'bm',1,7,'niʔ+b[a]m+p=aw'es','ni'bmpa'wes','//','orgy. (lit. there is speeding or intoxication among them)','n.','','',null,null,1,'2020-08-14T20:51:51.254+00:00','2020-08-14T20:51:51.254+00:00'
